Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C9",0603,4,10u,
"C10, C11, C12, C3, C5, C6, C7",0603,7,0.1u,
C8,0603,1,1u,
D1,D_SOD-123,1,1N5819HW-7-F,
"D2, D3, D4",0603,3,TVS,
"D5, D6",0603,2,PWR,
D7,0603,1,DANGER,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x02_P2.54mm_Vertical,1,CA,
J3,PinHeader_1x03_P2.54mm_Vertical,1,CB,
"R1, R2",0603,2,5.1k,
"R10, R3, R7",0603,3,47,
"R4, R5, R8, R9",0603,4,10k,
R6,0603,1,3.3k,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,BOOT,
SW2,SW_Push_1P1T_NO_CK_KMR2,1,RST,
SW3,SW_Push_1P1T_NO_CK_KMR2,1,FLIP,
SW4,SW_Push_1P1T_NO_CK_KMR2,1,FLOP,
TP2,TestPoint_Pad_D1.0mm,1,3.3V,
TP3,TestPoint_Pad_D1.0mm,1,GND,
U1,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1/U,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
