Designator,Mid X,Mid Y,Rotation,Layer
C1,159.25,-109.75,180.0,bottom
C10,157.246702,-90.8,90.0,bottom
C11,145.0,-106.0,90.0,bottom
C12,153.0,-104.5,90.0,bottom
C2,155.0,-106.75,90.0,bottom
C3,159.225,-111.5,180.0,bottom
C4,160.5,-97.0,180.0,bottom
C5,160.475,-98.75,180.0,bottom
C6,137.75,-101.45,90.0,bottom
C7,164.5,-101.5,90.0,bottom
C8,157.246702,-97.0,270.0,bottom
C9,158.996702,-90.8,90.0,bottom
D1,156.25,-111.55,270.0,bottom
D2,147.75,-107.25,180.0,bottom
D3,152.0,-107.25,0.0,bottom
D4,143.0,-109.5,90.0,bottom
D5,146.25,-93.5,90.0,top
D6,152.5,-93.5,90.0,top
D7,151.25,-101.75,90.0,top
J1,149.446702,-113.25,0.0,bottom
J2,163.5,-91.495,0.0,top
J3,135.5,-92.765,0.0,top
R1,151.0,-114.5,0.0,top
R10,149.5,-95.5,90.0,top
R2,147.75,-114.5,180.0,top
R3,137.575,-108.25,90.0,top
R4,144.5,-101.75,90.0,top
R5,158.0,-94.0,180.0,bottom
R6,144.75,-97.75,180.0,top
R7,139.5,-108.25,90.0,top
R8,148.5,-101.75,90.0,top
R9,146.5,-101.75,90.0,top
SW1,137.7,-101.45,0.0,top
SW2,160.5,-101.45,0.0,top
SW3,144.95,-107.05,0.0,top
SW4,153.7,-107.05,0.0,top
U1,149.446702,-91.2,0.0,bottom
U2,159.7,-104.3,270.0,bottom
